images,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_12.started,text_12.stopped,text_14.started,text_14.stopped,Survey.keys,Survey.rt,Survey.started,Survey.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/79.jpg,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,6,0.2700800999882631,50.53816709999228,None,1,0.30616909998934716,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/8.jpg,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,1,0.5247072000056505,51.33950770000229,None,1,0.2521437000250444,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/38.jpg,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,6,0.2584651000215672,53.12570879998384,None,1,0.9772082000272349,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/87.jpg,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,6,0.24766890000319108,54.36128850001842,None,1,0.7113026999868453,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/16.jpg,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,6,0.29212769999867305,55.179918900015764,None,1,0.31054649996804073,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/47.jpg,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,6,0.3151042999816127,56.59715009998763,None,1,0.8579518999904394,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/100.jpg,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,6,0.3272123000351712,57.46511619997909,None,1,0.3018283999990672,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/20.jpg,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,6,0.28850470000179484,58.39977389998967,None,1,0.3461762000224553,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/55.jpg,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,6,0.2678876999998465,59.284582899999805,None,1,0.3166773999691941,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/128.jpg,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,6,0.29365329997381195,60.20240010000998,None,1,0.38457840000046417,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/2.jpg,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,6,0.9012166999746114,61.73946249997243,None,,,2,0.9427485000342131,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/27.jpg,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,6,0.35057239996967837,63.273707400017884,None,,,2,0.37155610002810135,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/64.jpg,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,6,0.29058979998808354,64.27780619997066,None,,,2,0.3918388999882154,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/4.jpg,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,6,0.25267379998695105,65.21187729999656,None,,,2,0.35443690000101924,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/32.jpg,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,6,0.29506079998100176,66.12947909999639,None,,,2,0.389027500001248,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/79.jpg,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,6,0.27945259999250993,67.09666260000085,None,,,2,0.41251930000726134,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/8.jpg,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,6,0.26445860002422705,68.0482720999862,None,,,2,0.4029475999996066,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/38.jpg,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,6,0.29192439996404573,69.08423849998508,None,,,2,0.5057858999934979,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/87.jpg,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,6,0.26991350000025705,70.03451729996596,None,,,2,0.39752779999980703,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/16.jpg,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,6,0.31167540000751615,71.13658180000493,None,,,2,0.5578716000309214,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/47.jpg,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,6,0.2679667999618687,72.17211169999791,None,,,2,0.46136810001917183,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/100.jpg,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,6,0.28406510001514107,73.14029840001604,None,,,2,0.4392161999712698,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/20.jpg,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,2,0.6741943000233732,74.15802550001536,None,,,2,0.45840440003667027,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
